strain,accession,originating_lab,submitting_lab,segment
A/Alaska/206/2015,EPI670820,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/207/2015,EPI710113,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/21/2001,EPI606637,?,Other Database Import,HA
A/Alaska/21/2011,EPI353444,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/21/2012,EPI394997,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/21/2014,EPI533481,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/21/2015,EPI629713,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/210/2015,EPI676774,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/211/2015,EPI676780,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/212/2015,EPI676788,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/213/2015,EPI676796,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/214/2015,EPI676804,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/216/2015,EPI677041,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/217/2015,EPI677049,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/22/2012,EPI402255,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/22/2014,EPI533482,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/22/2015,EPI629620,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/22/2016,EPI827393,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/223/2015,EPI677096,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/224/2015,EPI695570,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/226/2015,EPI695807,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/229/2015,EPI677134,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/23/2016,EPI814158,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/231/2015,EPI677150,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/232/2015,EPI772786,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/233/2015,EPI695942,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/235/2015,EPI677178,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/236/2015,EPI677186,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/237/2015,EPI677194,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/24/2012,EPI404982,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/24/2014,EPI533483,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/24/2016,EPI841369,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/240/2015,EPI677218,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/241/2015,EPI677226,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/243/2015,EPI677234,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/245/2015,EPI677250,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/247/2015,EPI677266,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/25/2014,EPI533484,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/25/2015,EPI629721,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/250/2015,EPI695998,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/251/2015,EPI679414,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/253/2015,EPI671118,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/254/2015,EPI671126,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/255/2015,EPI671134,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/257/2015,EPI675222,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/259/2015,EPI675214,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/26/2014,EPI537864,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/26/2017,EPI1056100,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/26/2019,EPI1479390,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/261/2015,EPI677369,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/262/2015,EPI677377,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/264/2015,EPI710121,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/266/2015,EPI686318,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/267/2015,EPI686326,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/27/2014,EPI537845,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/27/2015,EPI651520,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/27/2017,EPI1056108,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/27/2019,EPI1479382,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/28/2014,EPI538506,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/28/2017,EPI1056116,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/28/2019,EPI1508095,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/29/2009,EPI211325,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/29/2014,EPI541566,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/29/2015,EPI638994,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/29/2017,EPI1056124,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/3/2010,EPI279973,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/3/2012,EPI371841,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/3/2013,EPI454460,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/30/2014,EPI540830,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/30/2015,EPI639295,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/30/2017,EPI1056132,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/30/2019,EPI1548107,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/3019/2012,EPI377128,?,Other Database Import,HA
A/Alaska/31/2014,EPI540831,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/31/2017,EPI1056140,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/31/2019,EPI1548115,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/3149/2012,EPI424316,?,Other Database Import,HA
A/Alaska/32/2014,EPI540832,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/32/2015,EPI639263,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/32/2017,EPI1056148,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/32/2019,EPI1573676,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/33/2014,EPI540833,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/33/2015,EPI638978,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/34/2014,EPI541569,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/34/2015,EPI639018,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/3409/2013,EPI462201,?,Other Database Import,HA
A/Alaska/35/2014,EPI543681,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/35/2015,EPI638986,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/35/2019,EPI1606201,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/36/2015,EPI639279,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/36/2017,EPI1056180,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/37/2015,EPI639271,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/37/2016,EPI895754,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/37/2017,EPI1056188,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/37/2018,EPI1245308,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/37/2019,EPI1591963,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/38/2015,EPI639002,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/38/2017,EPI1056196,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/38/2019,EPI1591971,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/39/2015,EPI653193,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/39/2019,EPI1597487,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/4/2008,EPI168617,?,Centers For Disease Control And Prevention,HA
A/Alaska/4/2010,EPI301107,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/4/2012,EPI376524,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/4/2013,EPI459829,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/40/2014,EPI553660,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/40/2015,EPI670351,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/40/2017,EPI1056204,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/40/2019,EPI1597479,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/4008/2014,EPI638111,?,Other Database Import,HA
A/Alaska/4030/2014,EPI638133,?,Other Database Import,HA
A/Alaska/4031/2014,EPI638134,?,Other Database Import,HA
A/Alaska/4032/2014,EPI638135,?,Other Database Import,HA
A/Alaska/41/2017,EPI1056212,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/42/2015,EPI653155,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/42/2017,EPI1056220,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/42/2019,EPI1606091,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/43/2017,EPI1056228,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/43/2019,EPI1606083,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/44/2015,EPI670359,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/44/2017,EPI1056236,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/45/2017,EPI1056244,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/45/2019,EPI1631209,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/46/2017,EPI1056252,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/46/2018,EPI1273852,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/4610/2015,EPI663134,?,Other Database Import,HA
A/Alaska/47/2015,EPI683270,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/47/2018,EPI1321040,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/4733/2015,EPI671858,?,Other Database Import,HA
A/Alaska/48/2015,EPI667564,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/49/2014,EPI549094,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/49/2017,EPI1059811,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/49/2018,EPI1321112,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/5/2007,EPI133826,?,Centers For Disease Control And Prevention,HA
A/Alaska/5/2010,EPI302286,Centers For Disease Control And Prevention,Centers For Disease Control And Prevention,HA
A/Alaska/5/2013,EPI459850,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/5/2014,EPI531744,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/50/2017,EPI1059819,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/50/2018,EPI1314704,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/51/2014,EPI553594,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/51/2015,EPI675139,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/51/2017,EPI1059827,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/52/2014,EPI553826,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/52/2018,EPI1318287,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/53/2014,EPI564387,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/53/2015,EPI670373,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/54/2017,EPI1091182,?,Other Database Import,HA
A/Alaska/55/2017,EPI1086207,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/56/2014,EPI556231,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/56/2015,EPI670396,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/57/2015,EPI670404,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/58/2018,EPI1334371,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/59/2015,EPI670412,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/6/2004,EPI115487,?,Other Database Import,HA
A/Alaska/6/2007,EPI125941,?,Centers For Disease Control And Prevention,HA
A/Alaska/6/2013,EPI462828,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/6/2016,EPI729922,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/60/2014,EPI564527,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/60/2015,EPI675176,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/61/2015,EPI670420,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/62/2015,EPI670428,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/64/2015,EPI670444,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/65/2015,EPI639149,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/67/2015,EPI667692,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/68/2015,EPI639089,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/69/2015,EPI639165,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/7/2001,EPI605927,?,Other Database Import,HA
A/Alaska/7/2004,EPI115509,?,Other Database Import,HA
A/Alaska/70/2015,EPI639096,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/71/2015,EPI651536,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/72/2015,EPI651496,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/74/2015,EPI662529,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/75/2015,EPI651632,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/76/2015,EPI651472,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/77/2015,EPI662537,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/79/2015,EPI651568,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/8/2001,EPI606907,?,Other Database Import,HA
A/Alaska/8/2014,EPI537071,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
